Field,Operator,Value
category,contains,Courses
category,contains,Meetings
category,contains,Webinars
category,equals,Book
category,equals,Certification
category,equals,Competition
category,equals,Data Science Platform
category,equals,Datalogics
category,equals,ebook
category,equals,Fellowship
category,equals,Free ebook
category,equals,Jobs
category,equals,Mode Analytics
category,equals,Octoparse
category,equals,Politics
category,equals,Predictive Analytics World
category,equals,Publishing
category,equals,Religion
category,equals,Summit
category,equals,Threat to Humanity
category,equals,Top stories
category,equals,Top tweets
category,equals,Training
category,equals,Women
link,contains,/jobs/
title,contains,Call for Research
title,contains,Conference
title,contains,KDnuggets Poll:
title,contains,Symposium
title,contains,your business
title,startswith,[White Paper]
title,startswith,Cartoon:
title,startswith,Free
title,startswith,KDD Cup
title,startswith,KDnuggetsâ„¢
title,startswith,New Poll:
title,startswith,Podcast:
title,startswith,Predictive Analytics Times
title,startswith,Predictive Analytics World
title,startswith,Top /r/MachineLearning Posts
title,startswith,Top Stories
title,startswith,Upcoming Meetings
title,startswith,Webinar:
